title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Young Frankenstein,Comedy,MelBrooks,.,GeneWilder,MadelineKahn,MartyFeldman,PeterBoyle,86300000,8,134405,1974
The Texas Chain Saw Massacre,Horror,TobeHooper,.,MarilynBurns,EdwinNeal,AllenDanziger,PaulA.Partain,30859000,7.5,122460,1974
Blazing Saddles,Comedy- Western,MelBrooks,.,CleavonLittle,GeneWilder,SlimPickens,HarveyKorman,119500000,7.7,117230,1974
The Conversation,Drama- Mystery- Thriller,FrancisFordCoppola,.,GeneHackman,JohnCazale,AllenGarfield,FredericForrest,4420000,7.8,88492,1974
The Man with the Golden Gun,Action- Adventure- Thriller,GuyHamilton,.,RogerMoore,ChristopherLee,BrittEkland,MaudAdams,20972000,6.8,87664,1974
Murder on the Orient Express,Crime- Drama- Mystery,SidneyLumet,.,AlbertFinney,LaurenBacall,IngridBergman,SeanConnery,.,7.3,50360,1974
The Towering Inferno,Action- Drama- Thriller,JohnGuillermin,.,PaulNewman,SteveMcQueen,WilliamHolden,FayeDunaway,116000000,6.9,36130,1974
Death Wish,Action- Crime- Drama,MichaelWinner,.,CharlesBronson,HopeLange,VincentGardenia,StevenKeats,22000000,7,32563,1974
Black Christmas,Horror- Mystery- Thriller,BobClark,.,OliviaHussey,KeirDullea,MargotKidder,JohnSaxon,4053000,7.2,27971,1974
The Taking of Pelham One Two Three,Action- Crime- Thriller,JosephSargent,.,WalterMatthau,RobertShaw,MartinBalsam,HectorElizondo,.,7.7,24063,1974
The Great Gatsby,Drama- Romance,JackClayton,.,RobertRedford,MiaFarrow,BruceDern,KarenBlack,.,6.4,22201,1974
Thunderbolt and Lightfoot,Comedy- Crime- Drama,MichaelCimino,.,ClintEastwood,JeffBridges,GeoffreyLewis,CatherineBach,25000000,7.1,20370,1974
Dark Star,Comedy- Sci-Fi,JohnCarpenter,.,DanO'Bannon,DrePahich,BrianNarelle,CalKuniholm,.,6.4,20344,1974
